source_user_id,source_username,source_instance,target_user_id,created_at,snapshot,edge_type
109421472112240333,mdwray,mindly.social,110055609834989281,2024-11-05T21:39:53.000Z,Snapshot 3 — Current State (2024–2026),reply
109414478612570093,CrypticMirror,mstdn.social,109382545354763941,2024-11-05T18:00:23.000Z,Snapshot 3 — Current State (2024–2026),reply
109408673540732185,WizardBear,mstdn.social,109287779209906635,2024-10-16T03:13:25.000Z,Snapshot 3 — Current State (2024–2026),reply
109408673540732185,WizardBear,mstdn.social,109506608507413021,2024-10-06T05:30:54.000Z,Snapshot 3 — Current State (2024–2026),reply
109347539858252951,ChemicalEyeGuy,mstdn.science,109252970042588697,2024-09-24T09:45:51.000Z,Snapshot 3 — Current State (2024–2026),reply
109299656770586971,moira,mastodon.murkworks.net,109425171230522625,2024-09-17T23:03:28.000Z,Snapshot 3 — Current State (2024–2026),reply
109524651272798199,Beachbum,mastodon.sdf.org,111257901007895901,2024-08-12T21:35:35.000Z,Snapshot 3 — Current State (2024–2026),reply
110864209360144082,GeriatricGardener,mastodon.social,109278109988773061,2023-08-13T12:07:30.000Z,Snapshot 2 — Post Settling (2023),reply
109322621413123411,Graygoose,mstdn.social,107021761248761986,2023-07-21T19:21:24.000Z,Snapshot 2 — Post Settling (2023),reply
109831666779052816,3ChordRock,mastodon.social,109301335872695495,2023-07-04T09:41:15.000Z,Snapshot 2 — Post Settling (2023),reply
109322621413123411,Graygoose,mstdn.social,109457353720225669,2023-06-06T03:11:24.000Z,Snapshot 2 — Post Settling (2023),reply
109322621413123411,Graygoose,mstdn.social,109320157253161429,2023-05-31T22:46:52.000Z,Snapshot 2 — Post Settling (2023),reply
